chid,alt,x1,x2,x3,s1,s2,e1,e2,o1,dist,LC,utility,match
2932,0,28,6,1.5,s12,s21,e11,e22,o13,9.1,1,-4.449337167,0
2932,1,14,15,2.75,s12,s21,e11,e22,o13,9.1,1,-2.656376748,1
2933,0,4,5,1.5,s11,s21,e11,e23,o14,2.12,3,-1.232753278,0
2933,1,3,15,2,s11,s21,e11,e23,o14,2.12,3,-0.563994903,1
2934,0,6,6,2,s12,s23,e11,e22,o11,2.91,1,-1.710589718,0
2934,1,4,16,2,s12,s23,e11,e22,o11,2.91,1,-0.984659927,1
2935,0,13,5,1.5,s12,s21,e13,e21,o14,6.48,1,-2.647336082,1
2935,1,9,14,2.75,s12,s21,e13,e21,o14,6.48,1,-2.655974929,0
2936,0,4,4,1.5,s12,s21,e11,e21,o13,2.97,1,-1.274425135,1
2936,1,4,17,2,s12,s21,e11,e21,o13,2.97,1,-1.404244449,0
2937,0,7,4,2,s12,s21,e12,e21,o13,4.95,1,-1.840830457,1
2937,1,8,17,2,s12,s21,e12,e21,o13,4.95,1,-2.415624991,0
2938,0,7,6,1.5,s11,s23,e12,e22,o12,3.83,2,-2.170865135,1
2938,1,6,13,2,s11,s23,e12,e22,o12,3.83,2,-3.008984894,0
2939,0,20,5,1.5,s13,s21,e11,e22,o11,9.65,3,-2.894871678,0
2939,1,15,15,2.75,s13,s21,e11,e22,o11,9.65,3,-2.163409721,1
2940,0,10,4,1.5,s12,s21,e11,e22,o11,5.12,1,-1.921443316,0
2940,1,7,12,2.75,s12,s21,e11,e22,o11,5.12,1,-0.850944133,1
2941,0,5,3,1.5,s12,s21,e11,e23,o11,3.03,1,-1.138473032,0
2941,1,4,16,2,s12,s21,e11,e23,o11,3.03,1,-0.835391766,1
2942,0,10,6,1.5,s12,s21,e11,e22,o13,4.37,1,-2.310538268,0
2942,1,7,15,2,s12,s21,e11,e22,o13,4.37,1,-1.048699596,1
2943,0,12,5,2,s11,s21,e11,e21,o13,6.54,3,-2.055299433,0
2943,1,10,16,2.75,s11,s21,e11,e21,o13,6.54,3,-1.814421246,1
2944,0,7,4,2,s12,s23,e11,e22,o11,4.19,1,-1.683686038,0
2944,1,6,16,2,s12,s23,e11,e22,o11,4.19,1,-1.070931359,1
2945,0,4,4,1.5,s12,s21,e11,e22,o13,2.09,1,-1.112021349,0
2945,1,3,16,2,s12,s21,e11,e22,o13,2.09,1,-0.871676888,1
2946,0,10,5,1.5,s12,s21,e11,e22,o11,4.43,1,-2.361654194,0
2946,1,6,14,2,s12,s21,e11,e22,o11,4.43,1,-0.807143506,1
2947,0,8,3,1.5,s12,s21,e12,e22,o12,3.39,1,-1.679337753,1
2947,1,5,16,2,s12,s21,e12,e22,o12,3.39,1,-1.856020188,0
2948,0,7,3,1.5,s11,s21,e12,e22,o12,4.17,3,-0.987791661,1
2948,1,6,17,2,s11,s21,e12,e22,o12,4.17,3,-2.363821751,0
2949,0,8,6,1.5,s11,s21,e11,e22,o12,4.02,3,-1.788580975,0
2949,1,6,17,2,s11,s21,e11,e22,o12,4.02,3,-1.439612179,1
2950,0,10,5,1.5,s12,s21,e11,e22,o13,5.51,1,-2.296251328,0
2950,1,8,13,2.75,s12,s21,e11,e22,o13,5.51,1,-1.143879725,1
2951,0,6,6,1.5,s12,s21,e12,e22,o11,3.6,1,-1.622102573,1
2951,1,5,14,2,s12,s21,e12,e22,o11,3.6,1,-1.645504875,0
2952,0,11,5,1.5,s12,s22,e11,e22,o13,4.96,3,-1.794588786,0
2952,1,8,13,2,s12,s22,e11,e22,o13,4.96,3,-0.799302485,1
2953,0,7,6,2,s11,s21,e11,e21,o11,2.43,3,-1.628148298,0
2953,1,3,12,2,s11,s21,e11,e21,o11,2.43,3,-0.640509147,1
2954,0,15,4,1.5,s11,s21,e12,e23,o12,6.35,3,-2.138705593,0
2954,1,9,14,2.75,s11,s21,e12,e23,o12,6.35,3,-2.048623025,1
2955,0,4,5,1.5,s12,s21,e12,e23,o12,2.26,1,-1.522577142,1
2955,1,3,17,2,s12,s21,e12,e23,o12,2.26,1,-1.714335443,0
2956,0,12,5,2,s12,s21,e12,e22,o13,7.25,1,-2.384806138,1
2956,1,10,15,2.75,s12,s21,e12,e22,o13,7.25,1,-2.53593148,0
2957,0,11,6,1.5,s12,s21,e12,e22,o11,4.25,1,-2.412709588,0
2957,1,6,15,2,s12,s21,e12,e22,o11,4.25,1,-2.035842816,1
2958,0,18,5,1.5,s12,s22,e12,e21,o13,7.67,1,-3.016295759,0
2958,1,11,12,2.75,s12,s22,e12,e21,o13,7.67,1,-2.307664886,1
2959,0,11,6,1.5,s11,s21,e11,e22,o13,6.37,3,-2.169315656,0
2959,1,9,14,2.75,s11,s21,e11,e22,o13,6.37,3,-1.490758625,1
2960,0,17,5,1.5,s12,s21,e11,e22,o13,7.28,1,-3.218811518,0
2960,1,11,15,2.75,s12,s21,e11,e22,o13,7.28,1,-1.755977569,1
2961,0,8,4,1.5,s11,s21,e11,e23,o13,3.25,3,-1.362991338,0
2961,1,5,18,2,s11,s21,e11,e23,o13,3.25,3,-1.108603692,1
2962,0,7,5,1.5,s11,s21,e13,e22,o11,4.15,3,-1.561089347,1
2962,1,6,17,2,s11,s21,e13,e22,o11,4.15,3,-2.532260675,0
2963,0,3,4,2,s11,s21,e11,e23,o13,2.25,3,-0.907105241,0
2963,1,4,14,2,s11,s21,e11,e23,o13,2.25,3,-0.592181028,1
2964,0,27,7,2,s12,s23,e12,e21,o13,12.18,1,-4.759953512,0
2964,1,19,15,3.5,s12,s23,e12,e21,o13,12.18,1,-3.884864095,1
2965,0,6,6,1.5,s11,s21,e12,e23,o11,2.54,3,-1.77049509,0
2965,1,4,12,2,s11,s21,e12,e23,o11,2.54,3,-1.10873878,1
2966,0,13,6,1.5,s12,s21,e12,e22,o12,6.82,1,-2.4225281,0
2966,1,9,13,2.75,s12,s21,e12,e22,o12,6.82,1,-2.032460421,1
2967,0,5,5,1.5,s11,s21,e11,e22,o12,3.6,3,-1.445728295,0
2967,1,5,13,2,s11,s21,e11,e22,o12,3.6,3,-0.613401997,1
2968,0,6,7,1.5,s11,s21,e12,e23,o13,2.55,3,-1.897466575,0
2968,1,4,14,2,s11,s21,e12,e23,o13,2.55,3,-1.265241366,1
2969,0,5,5,1.5,s11,s21,e11,e22,o11,2.7,3,-1.356519152,0
2969,1,4,17,2,s11,s21,e11,e22,o11,2.7,3,-1.288548739,1
2970,0,18,5,1.5,s12,s21,e11,e22,o11,7.27,1,-3.16841633,0
2970,1,11,14,2.75,s12,s21,e11,e22,o11,7.27,1,-1.732118381,1
2971,0,4,5,1.5,s12,s21,e11,e22,o13,2.05,1,-1.465041962,0
2971,1,3,12,2,s12,s21,e11,e22,o13,2.05,1,-0.370235558,1
2972,0,10,7,1.5,s12,s21,e11,e22,o12,4.97,1,-2.479137584,0
2972,1,7,16,2,s12,s21,e11,e22,o12,4.97,1,-1.356062723,1
2973,0,28,7,1.5,s11,s21,e11,e22,o12,12.1,1,-4.832748283,0
2973,1,18,14,3.5,s11,s21,e11,e22,o12,12.1,1,-2.715930942,1
2974,0,19,7,1.5,s11,s21,e12,e23,o13,7.94,3,-3.059321805,0
2974,1,11,17,2.75,s11,s21,e12,e23,o13,7.94,3,-2.426539813,1
2975,0,25,4,2,s11,s21,e12,e22,o13,9.53,3,-3.206890525,0
2975,1,13,14,2.75,s11,s21,e12,e22,o13,9.53,3,-2.925225418,1
2976,0,24,4,1.5,s12,s21,e12,e22,o12,9.07,1,-3.701181201,0
2976,1,13,16,2.75,s12,s21,e12,e22,o12,9.07,1,-3.189370428,1
2977,0,3,4,2,s11,s23,e12,e22,o13,2.1,2,-1.380185971,1
2977,1,3,15,2,s11,s23,e12,e22,o13,2.1,2,-3.14587973,0
2978,0,9,4,2,s12,s21,e12,e22,o12,4.46,1,-1.765620801,1
2978,1,6,18,2,s12,s21,e12,e22,o12,4.46,1,-2.286195237,0
2979,0,22,5,1.5,s11,s21,e12,e23,o11,11.66,3,-2.757612087,1
2979,1,19,14,3.5,s11,s21,e12,e23,o11,11.66,3,-2.875462833,0
2980,0,12,4,1.5,s12,s23,e13,e23,o13,5.19,1,-2.363524392,1
2980,1,8,17,2.75,s12,s23,e13,e23,o13,5.19,1,-2.522876807,0
2981,0,26,4,1.5,s11,s21,e11,e21,o13,11.2,3,-3.422877728,0
2981,1,16,18,3.5,s11,s21,e11,e21,o13,11.2,3,-2.793493678,1
2982,0,16,5,1.5,s11,s23,e12,e22,o11,6.87,2,-2.804759491,1
2982,1,11,14,2.75,s11,s23,e12,e22,o11,6.87,2,-3.732092074,0
2983,0,19,5,2,s11,s21,e11,e21,o11,8.55,3,-2.69101853,0
2983,1,12,12,2.75,s11,s21,e11,e21,o11,8.55,3,-1.196762672,1
2984,0,9,4,1.5,s11,s21,e13,e22,o12,5.42,3,-1.580250779,1
2984,1,9,12,2.75,s11,s21,e13,e22,o12,5.42,3,-2.510765442,0
2985,0,20,5,1.5,s12,s23,e11,e21,o11,10.2,1,-3.198833705,0
2985,1,14,9,3.5,s12,s23,e11,e21,o11,10.2,1,-1.393691118,1
2986,0,6,5,2,s12,s21,e13,e22,o11,3.36,3,-1.387364131,1
2986,1,5,16,2,s12,s21,e13,e22,o11,3.36,3,-2.580413769,0
2987,0,8,5,1.5,s12,s21,e11,e21,o12,3.4,1,-1.659391109,0
2987,1,6,13,2,s12,s21,e11,e21,o12,3.4,1,-1.040895035,1
2988,0,4,4,1.5,s11,s21,e11,e22,o13,3.42,3,-0.837685058,1
2988,1,5,14,2,s11,s21,e11,e22,o13,3.42,3,-0.921130627,0
2989,0,37,4,1.5,s12,s21,e11,e22,o13,15.88,1,-5.081661665,0
2989,1,25,14,4.25,s12,s21,e11,e22,o13,15.88,1,-3.54231004,1
2990,0,5,5,1.5,s12,s21,e12,e23,o11,2.76,1,-1.350929047,1
2990,1,4,17,2,s12,s21,e12,e23,o11,2.76,1,-1.960184499,0
2991,0,6,5,2,s12,s21,e13,e22,o14,4.21,1,-1.846981171,1
2991,1,6,17,2,s12,s21,e13,e22,o14,4.21,1,-2.483388702,0
2992,0,14,5,1.5,s11,s23,e12,e22,o13,5.95,2,-2.568829311,1
2992,1,8,16,2.75,s11,s23,e12,e22,o13,5.95,2,-3.96062396,0
2993,0,15,7,2,s11,s21,e11,e21,o12,6.56,3,-2.523747378,0
2993,1,10,18,2.75,s11,s21,e11,e21,o12,6.56,3,-2.074350732,1
2994,0,5,5,1.5,s12,s21,e12,e22,o11,3.28,1,-1.537668307,1
2994,1,5,14,2,s12,s21,e12,e22,o11,3.28,1,-1.943313658,0
2995,0,8,7,1.5,s11,s21,e11,e22,o13,3.73,3,-2.246692725,0
2995,1,5,13,2,s11,s21,e11,e22,o13,3.73,3,-0.574951481,1
2996,0,10,5,1.5,s12,s21,e12,e22,o13,4.51,1,-2.035935826,0
2996,1,6,14,2,s12,s21,e12,e22,o13,4.51,1,-1.838753183,1
2997,0,11,4,2,s13,s21,e11,e23,o12,5.36,3,-1.770074784,0
2997,1,8,14,2.75,s13,s21,e11,e23,o12,5.36,3,-1.19042503,1
2998,0,9,4,2,s11,s21,e11,e21,o12,4.27,3,-1.463803166,0
2998,1,7,15,2,s11,s21,e11,e21,o12,4.27,3,-1.408840869,1
2999,0,8,7,1.5,s12,s21,e11,e21,o11,3.56,1,-2.24477962,0
2999,1,5,16,2,s12,s21,e11,e21,o11,3.56,1,-1.380420714,1
3000,0,9,5,1.5,s11,s21,e12,e22,o13,4.33,3,-1.84158891,0
3000,1,6,14,2,s11,s21,e12,e22,o13,4.33,3,-1.749849688,1
3001,0,9,6,1.5,s11,s21,e13,e21,o12,4.7,3,-1.707019186,1
3001,1,7,19,2,s11,s21,e13,e21,o12,4.7,3,-2.881231542,0
3002,0,7,5,1.5,s12,s21,e12,e22,o12,3.48,1,-1.854385158,0
3002,1,5,14,2,s12,s21,e12,e22,o12,3.48,1,-1.531926566,1
3003,0,10,6,1.5,s11,s21,e12,e22,o13,7.05,3,-2.156143725,1
3003,1,10,15,2.75,s11,s21,e12,e22,o13,7.05,3,-2.288736515,0
3004,0,26,4,2,s12,s22,e12,e21,o12,9.77,1,-3.779143256,0
3004,1,14,18,2.75,s12,s22,e12,e21,o12,9.77,1,-3.599387054,1
3005,0,24,4,1.5,s12,s23,e11,e22,o11,10.29,1,-3.33578339,0
3005,1,14,12,3.5,s12,s23,e11,e22,o11,10.29,1,-1.882727065,1
3006,0,21,4,1.5,s11,s21,e11,e22,o14,8,3,-2.537607708,0
3006,1,12,16,2.75,s11,s21,e11,e22,o14,8,3,-2.115996941,1
3007,0,24,5,2,s12,s23,e11,e21,o11,11.59,2,-3.674808023,1
3007,1,20,15,3.5,s12,s23,e11,e21,o11,11.59,2,-4.013737363,0
3008,0,23,6,1.5,s12,s21,e11,e21,o13,12.17,1,-3.844190428,0
3008,1,18,15,3.5,s12,s21,e11,e21,o13,12.17,1,-2.875304643,1
3009,0,5,6,1.5,s12,s23,e12,e22,o12,4.72,1,-1.761616356,1
3009,1,7,17,2,s12,s23,e12,e22,o12,4.72,1,-2.524714535,0
3010,0,15,5,1.5,s12,s23,e11,e22,o11,8.48,3,-2.260210288,1
3010,1,13,18,2.75,s12,s23,e11,e22,o11,8.48,3,-2.54144631,0
3011,0,6,6,2,s12,s21,e13,e22,o13,2.9,1,-1.396282236,1
3011,1,5,13,2,s12,s21,e13,e22,o13,2.9,1,-1.860462137,0
3012,0,7,4,1.5,s11,s21,e12,e21,o12,3.46,1,-1.466031818,1
3012,1,6,15,2,s11,s21,e12,e21,o12,3.46,1,-2.240792462,0
3013,0,10,5,1.5,s12,s21,e11,e22,o13,8.01,1,-2.153386158,0
3013,1,13,13,2.75,s12,s21,e11,e22,o13,8.01,1,-1.594219389,1
3014,0,17,5,1.5,s12,s22,e11,e21,o12,7.88,1,-2.897188531,0
3014,1,14,15,2.75,s12,s22,e11,e21,o12,7.88,1,-2.132234673,1
3015,0,16,5,1.5,s11,s23,e12,e22,o14,7.74,2,-3.128307665,1
3015,1,12,18,2.75,s11,s23,e12,e22,o14,7.74,2,-4.724799035,0
3016,0,18,6,1.5,s11,s23,e12,e22,o13,12.86,3,-2.718102673,1
3016,1,17,14,3.5,s11,s23,e12,e22,o13,12.86,3,-3.011380545,0
3017,0,17,4,2,s11,s21,e11,e22,o14,8.16,3,-2.492416324,0
3017,1,12,11,2.75,s11,s21,e11,e22,o14,8.16,3,-1.099874085,1
3018,0,10,7,1.5,s12,s21,e12,e21,o13,5.05,1,-2.322571407,1
3018,1,9,14,2.75,s12,s21,e12,e21,o13,5.05,1,-2.586296972,0
3019,0,15,3,1.5,s11,s23,e11,e22,o11,5.4,2,-2.550764474,1
3019,1,9,15,2.75,s11,s23,e11,e22,o11,5.4,2,-3.193141424,0
3020,0,8,4,1.5,s11,s21,e12,e22,o11,4.23,3,-1.308501013,0
3020,1,6,12,2,s11,s21,e12,e22,o11,4.23,3,-1.280799159,1
3021,0,12,6,2,s11,s21,e12,e22,o13,8.06,3,-2.161653865,1
3021,1,13,11,2.75,s11,s21,e12,e22,o13,8.06,3,-2.291492578,0
3022,0,18,6,1.5,s12,s21,e12,e21,o11,7.41,1,-3.056282389,1
3022,1,12,17,2.75,s12,s21,e12,e21,o11,7.41,1,-3.552611164,0
3023,0,8,5,1.5,s11,s21,e11,e22,o12,3.34,3,-1.899897935,0
3023,1,5,14,2,s11,s21,e11,e22,o12,3.34,3,-0.944492585,1
3024,0,29,5,1.5,s12,s21,e11,e22,o12,12.31,1,-4.372851775,0
3024,1,18,13,3.5,s12,s21,e11,e22,o12,12.31,1,-2.46927335,1
3025,0,24,5,1.5,s12,s21,e12,e22,o11,14.24,1,-3.699085321,1
3025,1,22,13,3.5,s12,s21,e12,e22,o11,14.24,1,-3.884035031,0
3026,0,8,5,1.5,s12,s21,e12,e23,o11,3.45,1,-1.743614499,1
3026,1,5,18,2,s12,s21,e12,e23,o11,3.45,1,-2.176895608,0
3027,0,12,5,1.5,s11,s21,e11,e22,o12,5.75,3,-1.972004226,0
3027,1,8,15,2.75,s11,s21,e11,e22,o12,5.75,3,-1.386193848,1
3028,0,10,3,1.5,s12,s21,e12,e22,o11,6.15,3,-1.61211409,1
3028,1,9,12,2.75,s12,s21,e12,e22,o11,6.15,3,-1.786535005,0
3029,0,17,6,2,s12,s21,e12,e22,o12,7.24,1,-3.077302019,0
3029,1,11,13,2.75,s12,s21,e12,e22,o12,7.24,1,-2.260891862,1
3030,0,24,5,1.5,s12,s21,e12,e22,o12,10.15,1,-3.740874767,0
3030,1,17,13,3.5,s12,s21,e12,e22,o12,10.15,1,-3.2432581,1
3031,0,6,5,1.5,s11,s21,e12,e22,o13,4.1,3,-1.210315002,1
3031,1,6,14,2,s11,s21,e12,e22,o13,4.1,3,-1.810078979,0
3032,0,11,6,1.5,s11,s21,e12,e22,o11,6.09,3,-2.078954188,1
3032,1,9,15,2.75,s11,s21,e12,e22,o11,6.09,3,-2.192763629,0
3033,0,17,4,1.5,s11,s21,e12,e21,o12,7.95,3,-1.908734512,1
3033,1,12,15,2.75,s11,s21,e12,e21,o12,7.95,3,-2.689916099,0
3034,0,23,3,2,s12,s21,e11,e22,o11,12.96,1,-3.117282662,1
3034,1,20,17,3.5,s12,s21,e11,e22,o11,12.96,1,-3.297290892,0
3035,0,21,4,1.5,s12,s21,e12,e22,o13,10.4,1,-3.149517016,1
3035,1,16,14,3.5,s12,s21,e12,e22,o13,10.4,1,-3.281929046,0
3036,0,9,4,1.5,s12,s22,e11,e21,o12,3.44,1,-1.458231608,1
3036,1,5,18,2,s12,s22,e11,e21,o12,3.44,1,-1.512072275,0
3037,0,8,5,1.5,s11,s23,e11,e22,o11,4.17,3,-1.606846021,0
3037,1,6,14,2,s11,s23,e11,e22,o11,4.17,3,-1.09223263,1
3038,0,5,6,1.5,s12,s21,e12,e22,o13,2.08,1,-1.331837219,0
3038,1,3,13,2,s12,s21,e12,e22,o13,2.08,1,-1.273294689,1
3039,0,17,4,1.5,s12,s21,e12,e21,o11,6.69,2,-2.551671147,1
3039,1,11,16,2.75,s12,s21,e12,e21,o11,6.69,2,-4.326873726,0
3040,0,22,4,1.5,s13,s23,e13,e21,o12,13.46,3,-2.734983341,1
3040,1,20,17,3.5,s13,s23,e13,e21,o12,13.46,3,-3.88113151,0
3041,0,6,6,1.5,s12,s21,e11,e21,o13,3.34,1,-1.698087242,0
3041,1,4,12,2,s12,s21,e11,e21,o13,3.34,1,-0.658833301,1
3042,0,16,6,1.5,s11,s21,e11,e22,o13,7.33,3,-2.237707238,0
3042,1,12,18,2.75,s11,s21,e11,e22,o13,7.33,3,-1.866486661,1
3043,0,13,7,1.5,s12,s21,e11,e23,o13,4.92,2,-3.20875611,0
3043,1,8,14,2,s12,s21,e11,e23,o13,4.92,2,-2.981756992,1
3044,0,39,4,1.5,s12,s21,e12,e22,o11,16.81,1,-5.527467494,0
3044,1,26,14,4.25,s12,s21,e12,e22,o11,16.81,1,-4.431936274,1
3045,0,11,4,1.5,s11,s21,e11,e22,o12,5.06,3,-1.857072392,0
3045,1,8,14,2.75,s11,s21,e11,e22,o12,5.06,3,-1.183793054,1
3046,0,7,5,1.5,s12,s21,e11,e22,o13,3.33,1,-1.684470564,0
3046,1,5,15,2,s12,s21,e11,e22,o13,3.33,1,-1.117587272,1
3047,0,5,2,1.5,s11,s21,e11,e22,o13,2.58,3,-0.81820621,1
3047,1,4,16,2,s11,s21,e11,e22,o13,2.58,3,-1.021325909,0
3048,0,12,6,1.5,s12,s21,e11,e23,o13,5.44,1,-2.566053491,0
3048,1,7,9,2.75,s12,s21,e11,e23,o13,5.44,1,-0.093144075,1
3049,0,9,4,1.5,s11,s21,e11,e22,o13,5.68,3,-1.707816046,1
3049,1,9,19,2.75,s11,s21,e11,e22,o13,5.68,3,-1.925288556,0
3050,0,6,6,1.5,s12,s21,e11,e22,o13,3.18,1,-1.722174585,0
3050,1,5,14,2,s12,s21,e11,e22,o13,3.18,1,-0.726344337,1
3051,0,9,6,1.5,s12,s21,e12,e21,o12,5.19,1,-2.042945463,1
3051,1,7,16,2.75,s12,s21,e12,e21,o12,5.19,1,-2.543052259,0
3052,0,16,5,1.5,s12,s21,e11,e22,o13,8.43,2,-2.795405919,1
3052,1,12,15,2.75,s12,s21,e11,e22,o13,8.43,2,-3.123394286,0
3053,0,36,6,1.5,s12,s21,e12,e22,o13,14.51,1,-5.589206956,0
3053,1,24,16,3.5,s12,s21,e12,e22,o13,14.51,1,-4.338099113,1
3054,0,7,5,1.5,s12,s21,e11,e23,o13,4.51,1,-1.899413835,0
3054,1,7,17,2,s12,s21,e11,e23,o13,4.51,1,-1.42558556,1
3055,0,26,7,1.5,s11,s21,e12,e22,o11,11.28,3,-3.794431726,0
3055,1,16,16,3.5,s11,s21,e12,e22,o11,11.28,3,-3.150730453,1
3056,0,13,5,1.5,s12,s23,e11,e21,o13,6.24,1,-2.365236254,0
3056,1,9,11,2.75,s12,s23,e11,e21,o13,6.24,1,-1.119884332,1
3057,0,29,5,1.5,s12,s21,e13,e22,o11,17.1,1,-4.500153553,1
3057,1,31,15,4.25,s12,s21,e13,e22,o11,17.1,1,-5.698866555,0
3058,0,10,3,1.5,s11,s21,e11,e23,o11,4.65,3,-1.513123068,0
3058,1,7,17,2,s11,s21,e11,e23,o11,4.65,3,-1.474887066,1
3059,0,7,4,1.5,s12,s22,e13,e21,o11,2.99,1,-1.514887924,1
3059,1,5,14,2,s12,s22,e13,e21,o11,2.99,1,-2.016057137,0
3060,0,22,6,2,s11,s21,e11,e22,o12,10.39,3,-3.282451749,0
3060,1,16,11,3.5,s11,s21,e11,e22,o12,10.39,3,-1.599758329,1
3061,0,7,5,1.5,s11,s21,e13,e22,o11,3.24,3,-1.650867721,1
3061,1,5,14,2,s11,s21,e13,e22,o11,3.24,3,-2.110065671,0
3062,0,24,7,1.5,s11,s21,e12,e22,o12,12.13,3,-3.374823758,0
3062,1,20,13,3.5,s11,s21,e12,e22,o12,12.13,3,-3.304490221,1
3063,0,5,6,1.5,s12,s21,e11,e23,o12,3.2,1,-1.333484863,0
3063,1,5,13,2,s12,s21,e11,e23,o12,3.2,1,-0.421398114,1
3064,0,13,5,1.5,s11,s21,e13,e22,o12,5.79,3,-2.012884703,1
3064,1,8,12,2.75,s11,s21,e13,e22,o12,5.79,3,-2.147277158,0
3065,0,16,5,1.5,s12,s21,e11,e22,o12,7.11,1,-2.949829978,0
3065,1,10,13,2.75,s12,s21,e11,e22,o12,7.11,1,-1.041660301,1
3066,0,4,5,1.5,s12,s21,e12,e22,o11,2.36,1,-1.063328064,1
3066,1,4,13,2,s12,s21,e12,e22,o11,2.36,1,-1.236730864,0
3067,0,4,4,1.5,s12,s21,e13,e22,o11,2.22,1,-1.015084732,1
3067,1,3,13,2,s12,s21,e13,e22,o11,2.22,1,-1.535102582,0
3068,0,65,4,1.5,s12,s21,e12,e22,o11,37.42,1,-8.649541462,1
3068,1,60,16,7.25,s12,s21,e12,e22,o11,37.42,1,-9.180136232,0
3069,0,5,6,1.5,s13,s21,e12,e22,o12,3.93,3,-1.513907505,1
3069,1,5,16,2,s13,s21,e12,e22,o12,3.93,3,-1.863373243,0
3070,0,5,5,1.5,s12,s21,e11,e23,o12,2.12,1,-1.607529977,0
3070,1,3,14,2,s12,s21,e11,e23,o12,2.12,1,-0.517717492,1
3071,0,17,7,1.5,s11,s21,e12,e22,o11,7.81,3,-2.605287203,1
3071,1,13,18,2.75,s11,s21,e12,e22,o11,7.81,3,-3.183508611,0
3072,0,8,5,1.5,s12,s21,e11,e23,o11,4.22,1,-1.929709243,0
3072,1,6,15,2,s12,s21,e11,e23,o11,4.22,1,-0.966983424,1
3073,0,7,5,2,s11,s21,e12,e22,o12,4.59,3,-1.696804332,1
3073,1,7,13,2,s11,s21,e12,e22,o12,4.59,3,-1.699487187,0
3074,0,11,5,1.5,s12,s21,e13,e21,o13,5.58,1,-2.290864923,0
3074,1,9,12,2.75,s12,s21,e13,e21,o13,5.58,1,-2.026724324,1
3075,0,20,5,2,s11,s21,e11,e22,o13,9.27,3,-2.99475502,0
3075,1,13,15,2.75,s11,s21,e11,e22,o13,9.27,3,-1.832138464,1
3076,0,9,5,2,s11,s21,e11,e23,o12,5.23,3,-1.732044984,0
3076,1,9,11,2.75,s11,s21,e11,e23,o12,5.23,3,-0.655659674,1
3077,0,18,4,2,s12,s21,e11,e22,o11,8.62,1,-2.673134012,0
3077,1,12,17,2.75,s12,s21,e11,e22,o11,8.62,1,-2.106967712,1
3078,0,14,5,1.5,s12,s22,e12,e21,o13,6.56,1,-2.54996612,0
3078,1,10,13,2.75,s12,s22,e12,e21,o13,6.56,1,-2.507960973,1
3079,0,7,5,1.5,s12,s21,e12,e22,o13,4.13,1,-1.658669393,1
3079,1,6,17,2,s12,s21,e12,e22,o13,4.13,1,-2.272171449,0
3080,0,12,7,1.5,s12,s23,e11,e21,o13,5.89,1,-2.706647591,0
3080,1,10,14,2.75,s12,s23,e11,e21,o13,5.89,1,-1.83172998,1
3081,0,10,6,1.5,s12,s21,e11,e22,o13,3.53,2,-2.660496203,0
3081,1,5,15,2,s12,s21,e11,e22,o13,3.53,2,-2.564239728,1
3082,0,12,4,1.5,s11,s21,e13,e22,o13,4.78,3,-1.955237804,1
3082,1,7,14,2,s11,s21,e13,e22,o13,4.78,3,-2.383035759,0
3083,0,13,5,1.5,s12,s22,e12,e21,o13,8.49,1,-2.449338982,1
3083,1,13,12,2.75,s12,s22,e12,e21,o13,8.49,1,-2.578907126,0
3084,0,11,4,1.5,s11,s21,e13,e22,o11,7.56,3,-1.895822176,1
3084,1,12,13,2.75,s11,s21,e13,e22,o11,7.56,3,-2.909182492,0
3085,0,5,4,2,s11,s21,e11,e22,o12,2.61,3,-1.147986177,0
3085,1,3,16,2,s11,s21,e11,e22,o12,2.61,3,-0.761744857,1
3086,0,10,6,2,s11,s21,e11,e22,o13,5.21,3,-1.802718366,1
3086,1,8,19,2.75,s11,s21,e11,e22,o13,5.21,3,-2.056075603,0
3087,0,11,3,1.5,s12,s21,e12,e22,o12,6.42,1,-2.19394287,1
3087,1,9,15,2.75,s12,s21,e12,e22,o12,6.42,1,-2.314025455,0
3088,0,20,6,1.5,s12,s21,e11,e22,o13,9.01,1,-3.672048611,0
3088,1,12,18,2.75,s12,s21,e11,e22,o13,9.01,1,-2.53705804,1
3089,0,7,5,1.5,s11,s21,e12,e22,o13,2.68,3,-1.413012557,1
3089,1,3,16,2,s11,s21,e12,e22,o13,2.68,3,-1.80078591,0
3090,0,4,4,1.5,s12,s22,e12,e22,o13,3.04,1,-1.431491672,1
3090,1,5,11,2,s12,s22,e12,e22,o13,3.04,1,-1.532149039,0
3091,0,7,5,1.5,s12,s21,e12,e22,o12,4.45,1,-1.75167429,1
3091,1,6,18,2,s12,s21,e12,e22,o12,4.45,1,-2.559475364,0
3092,0,8,3,1.5,s12,s21,e12,e23,o12,2.94,1,-1.464996349,1
3092,1,4,17,2,s12,s21,e12,e23,o12,2.94,1,-2.097697893,0
3093,0,9,6,1.5,s11,s21,e12,e22,o13,4.75,3,-1.486484991,1
3093,1,7,16,2,s11,s21,e12,e22,o13,4.75,3,-1.958847572,0
3094,0,7,4,1.5,s11,s23,e11,e21,o13,4.65,2,-1.993029192,1
3094,1,7,19,2,s11,s23,e11,e21,o13,4.65,2,-3.79707059,0
3095,0,8,4,1.5,s11,s23,e11,e21,o11,6.02,2,-1.98425268,1
3095,1,9,15,2.75,s11,s23,e11,e21,o11,6.02,2,-3.114014439,0
3096,0,6,3,1.5,s13,s21,e11,e22,o13,4.44,3,-0.83426699,1
